"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USS0005K09S","GRIZZLY PEAK, CO US","2015",,"0","      233",,"-6","58",,"1.00","71","10541","27.49",,"36.5","45.8","27.2",,,,,,,
"USS0005K09S","GRIZZLY PEAK, CO US","2016",,"0","      225",,"-9","67",,"1.40","74","10547","26.91",,"36.6","46.0","27.1",,,,,,,
"USS0005K09S","GRIZZLY PEAK, CO US","2017",,,"      256",,,"76",,"1.30",,"10123","33.30",,,,,,,,,,,
"USS0005K09S","GRIZZLY PEAK, CO US","2018",,,"      230",,,"69",,"1.50",,,"24.80",,,,,,,,,,,
"USS0005K09S","GRIZZLY PEAK, CO US","2019",,,"      258",,,"87",,"1.00",,,"28.00",,,,,,,,,,,
"USS0005K09S","GRIZZLY PEAK, CO US","2020",,,"      224",,"-16","64",,"1.30",,,"25.00",,,,"25.1",,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2015",,"12","      149","        33","-9","11","9.0","1.23","82",,"21.77","108.5","42.7","53.7","31.7",,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2016",,"33","      151","        30","-9","18","18.0","1.00","86","8212","18.76","120.9","42.6","53.9","31.4",,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2017",,,"       92","        25",,"7","6.2","1.88","87",,"22.99","61.7",,"54.8",,,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2018",,,,,,,,,,,,,,,,,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2019",,"28","      190",,"-7","13",,"0.91","85",,"16.00",,"40.6","52.1","29.1",,,,,,,
"USC00051977","CRIPPLE CREEK 3 NNW, CO US","2020",,"36",,,"-9",,,,"85","8653",,,"42.0","53.9","30.0",,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2015",,,,,,,,"1.48",,,"19.02",,,,,,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2016",,,,,,,,"1.28",,,"13.19",,,,,,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2017",,,,,,,,"2.02",,,"16.09",,,,,,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2018",,,,,,,,"1.86",,,"12.04",,,,,,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2019",,,,,,,,"1.26",,,"16.39",,,,,,,,,,,
"US1COWE0043","GREELEY 10.5 SSE, CO US","2020",,,,,,,,"0.97",,,"10.60",,,,,,,,,,,
"US1COME0064","GRAND JUNCTION 5.5 SW, CO US","2018",,,,,,,,"1.07",,,"9.11",,,,,,,,,,,
"US1COME0064","GRAND JUNCTION 5.5 SW, CO US","2020",,,,,,,,"1.03",,,"5.81",,,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2015",,,,"        19",,,"7.0","1.87",,,"17.17","53.0",,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2016",,,,"        12",,,"9.0","1.15",,,"10.57","54.1",,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2017",,,,"         9",,,"6.9","1.69",,,"13.75","31.4",,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2018",,,,"        11",,,"5.2","0.94",,,"12.94","33.9",,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2019",,,,"        20",,,"10.5","1.12",,,"16.43","63.3",,,,,,,,,,
"US1COBO0143","LONGMONT 2.1 N, CO US","2020",,,,"        19",,,"10.0","1.20",,,"12.05","59.2",,,,,,,,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","2015",,"511",,,"-2",,,,"92","5784",,,"50.5","61.9","39.2",,,,,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","2016",,"544",,,"-7",,,,"97","5781",,,"51.0","63.0","38.9",,,,,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","2017",,"502",,,"-6",,,,"96","5444",,,"50.5","62.4","38.6",,,,,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","2018",,"515",,,"-8",,,,"97","5863",,,"49.3","61.3","37.3",,,,,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","2019",,"597",,,"-8",,,,"101","6671",,,"48.3","60.3","36.2",,,,,,,
